filter1,size2,env_id,noop_max,discount_factor,units6,pre_training_start,filter2,strides3,update_target_freq,units5,units2,pre_iterations,filter4,strides4,double,episodes,batch_size,strides2,frame_stack,strides1,train_freq,eval_freq,units3,size4,optimizer,pre_train_freq,units7,max_size,units4,size1,iterations,size3,grad_clip,filter3,units8,eval_episodes,training_start,units1,steps,epsilon,Mean Reward 100 episdoes,episode,learning rate
32,4,PongNoFrameskip-v4,30,0.99,32,50,64,1,10000,32,32,10000,16,1,True,300,64,2,4,4,4,300000,32,2,adam,20,32,1000000,32,8,70000000,3,10,64,32,50,50000,512,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91601,91.75591,-20.32,100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188840,83.0044,-19.92,200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308742,72.21322,-18.9,300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440997,60.31027,-18.45,400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598953,46.09422999999999,-17.14,500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818261,26.35651,-12.76,600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111997,9.967484741935484,2.32,700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348411,9.898848419354838,13.92,800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568570,9.834931290322581,15.11,900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790021,9.770639064516129,15.03,1000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013967,9.705622483870966,15.13,1100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229691,9.642992935483871,15.56,1200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442458,9.581221870967742,15.6,1300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649983,9.520972677419353,16.31,1400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2852988,9.462035741935484,16.17,1500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047132,9.40567135483871,17.51,1600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244834,9.348274,16.73,1700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3442547,9.290873451612903,16.81,1800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3637213,9.234357516129032,16.88,1900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833071,9.177495516129031,16.66,2000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028863,9.120652677419356,16.67,2100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220525,9.065008870967741,17.35,2200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4417061,9.007950032258064,16.61,2300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4611391,8.95153164516129,16.93,2400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4807051,8.894727129032258,16.81,2500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4998678,8.839093483870968,17.33,2600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5191186,8.783204064516129,17.23,2700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384013,8.727222032258066,17.24,2800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5576019,8.67147835483871,17.14,2900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5768827,8.615501838709678,17.19,3000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5955916,8.561185677419356,17.54,3100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144628,8.506398322580646,17.68,3200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6335098,8.45110058064516,17.39,3300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526239,8.395608032258064,17.52,3400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6714766,8.340874387096775,17.73,3500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6902271,8.286437451612903,17.86,3600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7090767,8.231712806451611,17.63,3700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280465,8.176639193548386,17.43,3800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465927,8.122795387096774,17.56,3900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7656073,8.06759170967742,17.27,4000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7842894,8.01335335483871,17.76,4100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8028297,7.959526677419356,17.69,4200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8218339,7.904353193548386,17.46,4300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8405753,7.849942677419356,17.71,4400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8592842,7.7956265161290315,17.83,4500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8778784,7.741643354838709,17.98,4600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8966043,7.687277838709678,17.62,4700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9152186,7.633236322580644,17.93,4800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9338883,7.579033967741935,17.61,4900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9523772,7.525356516129032,17.99,5000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9708542,7.471713612903224,17.99,5100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9896417,7.417169258064515,17.86,5200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10081260,7.363505161290321,18.39,5300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10264945,7.310177258064515,18.1,5400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10449440,7.256614193548387,18.19,5500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10634853,7.202784612903226,17.87,5600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10818390,7.149499677419355,18.42,5700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001300,7.096396774193549,18.05,5800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11185601,7.0428900322580645,18.24,5900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11370291,6.989270354838709,17.76,6000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11552974,6.93623335483871,18.15,6100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11739791,6.8819961612903215,17.78,6200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926143,6.827893967741935,17.93,6300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12111989,6.773938677419354,18.21,6400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12296106,6.72048535483871,18.22,6500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12480774,6.666872064516129,18.39,6600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12663739,6.613753193548385,18.2,6700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12846053,6.560823322580644,18.22,6800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13028560,6.507837419354838,18.17,6900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13210239,6.455091903225806,18.4,7000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13393401,6.4019158387096775,18.18,7100,0.0001
